EXTERNAL/TSAI:  VERSION OF 8/8/96

                                                                        
                                                                        
                                                                        
Stein deuterium                                                         
from Dunne 8/01                                                         

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = (  1,  2);   avgA =   2.000; amuM=  2.013; avgM=  1.875
 targ=   TUNA; ttarg(rl)=0.00533; twall=0.00143; tbeam=0.00143; tspec=0.00761
         Nseg  =   4
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 4
   5.671  0.300  7.88    0.84    0.44    0.60    0.01    1.05 3.298E+01

   4.400 29.652  2.00    2.88    1.52    2.66    0.01    4.18  0.976
   1.736  0.400  3.88    3.33   -0.47    3.02    0.01    2.56 1.314E+01

   5.500 20.629  2.00    1.73   -1.02    1.56    0.00    0.55  0.993
   2.836  0.400  3.88    2.00   -3.44    1.79    0.00   -1.65 2.964E+01

   6.600 15.950  2.00    1.32   -2.74    1.20    0.00   -1.54  0.999
   3.936  0.400  3.88    1.53   -5.51    1.39    0.00   -4.12 5.308E+01

   8.800 11.044  2.00    1.00   -5.16    0.93    0.00   -4.22  1.007
   6.136  0.400  3.88    1.18   -8.43    1.10    0.00   -7.33 1.214E+02

  11.000  8.470  2.00    0.87   -6.87    0.83    0.00   -6.03  1.009
   8.336  0.400  3.88    1.04  -10.51    0.99    0.00   -9.52 2.186E+02

   5.500 35.057  3.00    3.45    4.63    3.11    0.01    7.75  0.962
   1.503  0.400  5.38    3.96    3.02    3.49    0.01    6.52 3.741E+00

   6.600 24.119  3.00    1.57    1.40    1.25    0.00    2.66  0.972
   2.603  0.400  5.38    1.77   -0.68    1.41    0.00    0.73 8.489E+00

   7.700 18.667  3.00    1.00   -0.55    0.77    0.00    0.23  0.973
   3.703  0.400  5.38    1.12   -2.96    0.88    0.00   -2.08 1.514E+01

   8.800 15.310  3.00    0.74   -1.98    0.58    0.00   -1.40  0.972
   4.803  0.400  5.38    0.84   -4.65    0.66    0.00   -3.99 2.378E+01

  11.000 11.325  3.00    0.52   -4.07    0.41    0.00   -3.65  0.971
   7.003  0.400  5.38    0.59   -7.14    0.48    0.00   -6.66 4.721E+01

   6.600 40.395  4.00    5.08    8.12    4.72    0.02   12.85  0.954
   1.271  0.400  6.88    5.86    6.89    5.27    0.02   12.18 1.451E+00

   7.700 27.070  4.00    1.82    3.60    1.33    0.01    4.94  0.962
   2.371  0.400  6.88    2.03    1.78    1.49    0.01    3.28 3.404E+00

   8.800 20.849  4.00    1.01    1.28    0.67    0.00    1.96  0.959
   3.471  0.400  6.88    1.12   -0.88    0.75    0.00   -0.12 6.089E+00

  11.000 14.548  4.00    0.51   -1.52    0.32    0.00   -1.20  0.950
   5.671  0.400  6.88    0.56   -4.15    0.37    0.00   -3.78 1.381E+01

   4.400 50.765  3.20    5.25    3.19    5.22    0.01    8.42  0.956
   0.989  0.500  4.08    6.10    0.96    5.84    0.01    6.82 1.393E+00

   5.500 30.596  3.20    1.81   -1.11    1.53    0.00    0.43  0.974
   2.089  0.500  4.08    2.05   -3.89    1.72    0.00   -2.16 4.060E+00

   6.600 22.483  3.20    1.10   -3.37    0.90    0.00   -2.46  0.977
   3.189  0.500  4.08    1.24   -6.50    1.03    0.00   -5.48 8.071E+00

   7.700 17.907  3.20    0.82   -4.95    0.68    0.00   -4.26  0.981
   4.289  0.500  4.08    0.93   -8.36    0.78    0.00   -7.58 1.350E+01

   8.800 14.925  3.20    0.68   -6.18    0.58    0.00   -5.61  0.983
   5.389  0.500  4.08    0.78   -9.83    0.66    0.00   -9.16 2.039E+01

  11.000 11.235  3.20    0.54   -8.06    0.48    0.00   -7.59  0.985
   7.589  0.500  4.08    0.63  -12.08    0.55    0.00  -11.52 3.865E+01

   8.800 18.212  4.00    0.62   -4.40    0.45    0.00   -3.95  0.951
   4.537  0.500  4.88    0.69   -7.73    0.51    0.00   -7.23 7.717E+00

  11.000 13.342  4.00    0.41   -6.56    0.32    0.00   -6.24  0.955
   6.737  0.500  4.88    0.47  -10.28    0.36    0.00   -9.92 1.565E+01

   5.500 45.090  4.00    3.87    3.08    3.55    0.01    6.63  0.960
   1.237  0.500  4.88    4.43    0.79    3.96    0.01    4.76 1.058E+00

   6.600 29.504  4.00    1.44   -0.78    1.10    0.00    0.33  0.960
   2.337  0.500  4.88    1.62   -3.55    1.24    0.00   -2.31 2.612E+00

   7.700 22.418  4.00    0.86   -2.90    0.63    0.00   -2.27  0.957
   3.437  0.500  4.88    0.96   -5.98    0.70    0.00   -5.28 4.820E+00

   8.800 18.212  4.00    0.62   -4.40    0.45    0.00   -3.95  0.951
   4.537  0.500  4.88    0.69   -7.73    0.51    0.00   -7.23 7.717E+00

  11.000 13.342  4.00    0.41   -6.56    0.32    0.00   -6.24  0.955
   6.737  0.500  4.88    0.47  -10.28    0.36    0.00   -9.92 1.565E+01

   6.600 45.413  5.00    4.01    4.48    3.55    0.01    8.04  0.957
   1.271  0.500  5.88    4.57    2.33    3.95    0.01    6.29 6.176E-01

   7.700 30.337  5.00    1.40    0.28    0.95    0.00    1.23  0.947
   2.371  0.500  5.88    1.54   -2.37    1.06    0.00   -1.31 1.445E+00

   8.800 23.342  5.00    0.78   -1.92    0.49    0.00   -1.44  0.941
   3.471  0.500  5.88    0.86   -4.88    0.54    0.00   -4.33 2.581E+00

  11.000 16.276  5.00    0.40   -4.63    0.24    0.00   -4.39  0.928
   5.671  0.500  5.88    0.44   -8.02    0.27    0.00   -7.74 5.844E+00

   5.500 55.189  5.00    4.49    1.46    4.27    0.00    5.73  0.959
   1.059  0.600  4.22    5.13   -1.50    4.73    0.00    3.24 3.207E-01

   6.600 34.455  5.00    1.43   -2.90    1.08    0.00   -1.82  0.948
   2.159  0.600  4.21    1.59   -6.31    1.21    0.00   -5.10 8.494E-01

   7.700 25.792  5.00    0.82   -5.13    0.60    0.00   -4.53  0.949
   3.259  0.600  4.21    0.92   -8.83    0.67    0.00   -8.16 1.606E+00

   8.800 20.799  5.00    0.59   -6.68    0.43    0.00   -6.24  0.953
   4.359  0.600  4.21    0.66  -10.62    0.49    0.00  -10.13 2.607E+00

  11.000 15.127  5.00    0.40   -8.87    0.31    0.00   -8.56  0.960
   6.559  0.600  4.21    0.45  -13.18    0.36    0.00  -12.82 5.365E+00

   4.400 64.600  3.47    9.66    6.31   10.73    0.02   17.06  0.939
   0.690  0.498  4.37   11.43    4.37   11.99    0.02   16.39 7.278E-01

  11.000 45.500  9.08    4.74    8.45    3.68    0.01   12.14  0.950
   1.380  0.503  9.85    5.31    6.64    4.06    0.01   10.71 1.563E-01

   4.400 27.900  2.16    2.16   -3.43    2.05    0.00   -1.38  1.008
   2.110  0.502  3.02    2.51   -6.49    2.35    0.00   -4.14 1.307E+01

  11.000 19.000  5.79    0.47   -3.14    0.24    0.00   -2.90  0.923
   4.830  0.500  6.67    0.51   -6.30    0.27    0.00   -6.03 2.900E+00

  0.000 0.000  0.000 .000  0.00  0.00  0.00  0.00  0.00  0.00 0.000
                           0.00  0.00  0.00  0.00  0.00  0.00 0.000E+00

